12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\21300001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '21300001Imageset' via XML file. (00E19CC0)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\21400001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 21400001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\21400001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '21400001Imageset' via XML file. (00E202E0)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\21500001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 21500001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\21500001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '21500001Imageset' via XML file. (00E264F0)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\21600001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 21600001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\21600001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '21600001Imageset' via XML file. (00E2C700)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\21700001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 21700001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\21700001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '21700001Imageset' via XML file. (00E32910)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\21800001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 21800001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\21800001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '21800001Imageset' via XML file. (00E38B20)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\21900001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 21900001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\21900001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '21900001Imageset' via XML file. (00E19FA8)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\22000001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 22000001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\22000001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '22000001Imageset' via XML file. (017E9728)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\22100001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 22100001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\22100001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '22100001Imageset' via XML file. (017EF7C0)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\22200001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 22200001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\22200001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '22200001Imageset' via XML file. (017F59D0)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\22300001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 22300001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\22300001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '22300001Imageset' via XML file. (017FBBE0)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\22400001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 22400001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\22400001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '22400001Imageset' via XML file. (01801DF0)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\22500001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 22500001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\22500001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '22500001Imageset' via XML file. (01808000)
